name,artists
"Woofer (feat. Snoop Dogg, Zora Randhawa & Nargis Fakhri)","Dr Zeus, Snoop Dogg, Zora Randhawa, Nargis Fakhri"
Hall of Fame (feat. will.i.am),"The Script, will.i.am"
"Hukum (From ""Rajini The Jailer"")","Anirudh Ravichander, Ritesh G Rao, Raqueeb Alam"
Unstoppable,Dino James
Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams"
Chaar Churiyaan,"Inder Nagra, Badshah"
Nakhra Nawabi (feat. Zora Randhawa & Fateh),"Dr Zeus, Zora Randhawa, Fateh"
Centuries - Remix,"Fall Out Boy, Juicy J, Jonathan ""JR"" Rotem"
Sweet Child O' Mine,Guns N' Roses
JD Intro - Background Score,Anirudh Ravichander
